INFO	 | watchfiles.main	 | 2025-09-29 11:18:18	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:18:19	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:18:43	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:25	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:26	 | _log_changes:308	 | 2 changes detected
INFO	 | uvicorn.error	 | 2025-09-29 11:19:26	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-29 11:19:26	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-29 11:19:26	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-29 11:19:26	 | _serve:94	 | Finished server process [22096]
INFO	 | watchfiles.main	 | 2025-09-29 11:19:26	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:27	 | _log_changes:308	 | 5 changes detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:27	 | _log_changes:308	 | 9 changes detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:34	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:46	 | _log_changes:308	 | 3 changes detected
INFO	 | watchfiles.main	 | 2025-09-29 11:19:47	 | _log_changes:308	 | 2 changes detected
INFO	 | uvicorn.error	 | 2025-09-29 11:50:40	 | _serve:84	 | Started server process [12424]
INFO	 | uvicorn.error	 | 2025-09-29 11:50:40	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:50:40	 | startup:62	 | Application startup complete.
INFO	 | app	 | 2025-09-29 11:50:44	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>11
INFO	 | uvicorn.access	 | 2025-09-29 11:50:44	 | send:476	 | 127.0.0.1:3404 - "GET /api/demo/hello/11 HTTP/1.1" 200
INFO	 | uvicorn.error	 | 2025-09-29 11:51:20	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-29 11:51:20	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-29 11:51:20	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-29 11:51:20	 | _serve:94	 | Finished server process [12424]
INFO	 | uvicorn.error	 | 2025-09-29 11:51:21	 | _serve:84	 | Started server process [22488]
INFO	 | uvicorn.error	 | 2025-09-29 11:51:21	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-29 11:51:21	 | startup:62	 | Application startup complete.
INFO	 | app	 | 2025-09-29 11:51:25	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>11
INFO	 | uvicorn.access	 | 2025-09-29 11:51:25	 | send:476	 | 127.0.0.1:3441 - "GET /api/demo/hello/11 HTTP/1.1" 200
INFO	 | app	 | 2025-09-29 11:51:32	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>helloword
INFO	 | uvicorn.access	 | 2025-09-29 11:51:32	 | send:476	 | 127.0.0.1:3442 - "GET /api/demo/hello/helloword HTTP/1.1" 200
INFO	 | uvicorn.access	 | 2025-09-29 11:53:41	 | send:476	 | 127.0.0.1:3534 - "GET /docs HTTP/1.1" 200
INFO	 | uvicorn.access	 | 2025-09-29 11:53:42	 | send:476	 | 127.0.0.1:3534 - "GET /openapi.json HTTP/1.1" 200
INFO	 | app	 | 2025-09-29 11:54:04	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>1
INFO	 | uvicorn.access	 | 2025-09-29 11:54:04	 | send:476	 | 127.0.0.1:3559 - "GET /api/demo/hello/1 HTTP/1.1" 200
INFO	 | app	 | 2025-09-29 11:54:09	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>1
INFO	 | uvicorn.access	 | 2025-09-29 11:54:09	 | send:476	 | 127.0.0.1:3559 - "GET /api/demo/hello/1 HTTP/1.1" 200
INFO	 | uvicorn.error	 | 2025-09-30 09:27:41	 | _serve:84	 | Started server process [8852]
INFO	 | uvicorn.error	 | 2025-09-30 09:27:41	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-30 09:27:41	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-30 09:28:03	 | _log_changes:308	 | 4 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:28:04	 | _log_changes:308	 | 1 change detected
INFO	 | app	 | 2025-09-30 09:28:16	 | say_hello:19	 | welcome to FastAPI with modular routes!>>>>>11
INFO	 | uvicorn.access	 | 2025-09-30 09:28:16	 | send:476	 | 127.0.0.1:14151 - "GET /api/demo/hello/11 HTTP/1.1" 200
INFO	 | watchfiles.main	 | 2025-09-30 09:31:40	 | _log_changes:308	 | 4 changes detected
INFO	 | uvicorn.error	 | 2025-09-30 09:31:40	 | shutdown:264	 | Shutting down
INFO	 | uvicorn.error	 | 2025-09-30 09:31:40	 | shutdown:67	 | Waiting for application shutdown.
INFO	 | uvicorn.error	 | 2025-09-30 09:31:40	 | shutdown:76	 | Application shutdown complete.
INFO	 | uvicorn.error	 | 2025-09-30 09:31:40	 | _serve:94	 | Finished server process [8852]
INFO	 | watchfiles.main	 | 2025-09-30 09:31:40	 | _log_changes:308	 | 2 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:31:41	 | _log_changes:308	 | 4 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:31:41	 | _log_changes:308	 | 1 change detected
INFO	 | uvicorn.error	 | 2025-09-30 09:31:41	 | _serve:84	 | Started server process [14412]
INFO	 | uvicorn.error	 | 2025-09-30 09:31:41	 | startup:48	 | Waiting for application startup.
INFO	 | uvicorn.error	 | 2025-09-30 09:31:41	 | startup:62	 | Application startup complete.
INFO	 | watchfiles.main	 | 2025-09-30 09:31:41	 | _log_changes:308	 | 5 changes detected
INFO	 | watchfiles.main	 | 2025-09-30 09:31:53	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:14	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:29	 | _log_changes:308	 | 1 change detected
INFO	 | watchfiles.main	 | 2025-09-30 09:32:44	 | _log_changes:308	 | 1 change detected
